Department,Contract_Number,Contract_Type,City,Award_Amount
DEPT OF COMMUNITY DEVELOPMENT,20195,"PRO SERV CONSULTING $250,000orABOVE",CHICAGO,0
DEPT OF COMMUNITY DEVELOPMENT,21978,PROPERTY LEASE,CHICAGO,"16,200.00"
DEPT_OF_COMMUNITY_DEVELOPMENT,20257,"PRO_SERV_CONSULTING_$250,000orABOVE",CHICAGO,0
DEPT_OF_COMMUNITY_DEVELOPMENT,20237,"PRO_SERV_CONSULTING_$250,000orABOVE",CHICAGO,0
DEPT_OF_COMMUNITY_DEVELOPMENT,20240,"PRO_SERV_CONSULTING_$250,000orABOVE",CHICAGO,0
DEPT_OF_COMMUNITY_DEVELOPMENT,20236,"PRO_SERV_CONSULTING_$250,000orABOVE",WHEATON,0
DEPT_OF_COMMUNITY_DEVELOPMENT,20245,"PRO_SERV_CONSULTING_$250,000orABOVE",EVANSTON,0
DEPT_OF_COMMUNITY_DEVELOPMENT,20196,"PRO_SERV_CONSULTING_$250,000orABOVE",HIGHLAND PARK,0
DEPT_OF_COMMUNITY_DEVELOPMENT,20203,"PRO_SERV_CONSULTING_$250,000orABOVE",CHICAGO,0
DEPT_OF_COMMUNITY_DEVELOPMENT,20253,"PRO_SERV_CONSULTING_$250,000orABOVE",CHICAGO,0
DEPT_OF_COMMUNITY_DEVELOPMENT,20207,"PRO_SERV_CONSULTING_$250,000orABOVE",CHICAGO,0
DEPT_OF_COMMUNITY_DEVELOPMENT,20231,"PRO_SERV_CONSULTING_$250,000orABOVE",CHICAGO,0
DEPT_OF_COMMUNITY_DEVELOPMENT,28374,"PRO_SERV_CONSULTING_$250,000orABOVE",CHICAGO RIDGE,"4,686.90"
DEPT_OF_COMMUNITY_DEVELOPMENT,20252,"PRO_SERV_CONSULTING_$250,000orABOVE",CHICAGO,"3,00,000.00"
DEPT_OF_COMMUNITY_DEVELOPMENT,20229,"PRO_SERV_CONSULTING_$250,000orABOVE",CHICAGO,0
DEPT_OF_COMMUNITY_DEVELOPMENT,20209,"PRO_SERV_CONSULTING_$250,000orABOVE",DEARBORN,0
DEPT_OF_COMMUNITY_DEVELOPMENT,20228,"PRO_SERV_CONSULTING_$250,000orABOVE",CHICAGO,0
DEPT_OF_COMMUNITY_DEVELOPMENT,20211,"PRO_SERV_CONSULTING_$250,000orABOVE",CHICAGO,0
DEPARTMENT OF WATER MANAGEMENT,29886,CONSTRUCTION-LARGE_$3MILLIONorABOVE,CHICAGO,"6,439.00"
DEPARTMENT OF WATER MANAGEMENT,21739,PROPERTY_LEASE,BEDFORD PARK,"3,99,900.00"
DEPT OF AVIATION,25267,COMMODITIES,CHICAGO,"10,582.00"
DEPARTMENT OF POLICE,21085,COMMODITIES,LINCOLNSHIRE,"1,02,410.70"
CHICAGO DEPARTMENT OF TRANSPORTATION,15878,JOC,CHICAGO,0
DEPARTMENT OF WATER MANAGEMENT,9929,COMMODITIES,CHICAGO,0
DEPARTMENT OF WATER MANAGEMENT,21599,PROPERTY_LEASE,CHICAGO,"-10,387.20"
DEPARTMENT OF WATER MANAGEMENT,21736,PROPERTY_LEASE,CHICAGO,"-5,63,750.00"
DEPARTMENT OF WATER MANAGEMENT,9929,COMMODITIES,CHICAGO,0
DEPARTMENT OF WATER MANAGEMENT,21599,PROPERTY_LEASE,CHICAGO,"-19,806.40"
CHICAGO DEPARTMENT OF TRANSPORTATION,14099,WORK SERVICES/FACILITIES MAINT.,ELK GROVE VILLAGE,"1,00,000.00"
DEPARTMENT OF WATER MANAGEMENT,17075,WORK SERVICES/FACILITIES MAINT.,ALSIP,"1,99,861.00"
DEPT OF GENERAL SERVICES,27849,CONSTRUCTION-LARGE $3MILLIONorABOVE,DARIEN,0
DEPT OF GENERAL SERVICES,27849,CONSTRUCTION-LARGE $3MILLIONorABOVE,DARIEN,0
DEPARTMENT OF WATER MANAGEMENT,16881,WORK SERVICES/FACILITIES MAINT.,CHICAGO,"33,616.00"
DEPARTMENT OF WATER MANAGEMENT,29886,CONSTRUCTION-LARGE $3MILLIONorABOVE,CHICAGO,784
DEPT OF AVIATION,26337,PRO_SERV-AVIATION,WASHINGTON,0
DEPT OF AVIATION,26337,PRO_SERV-AVIATION,WASHINGTON,0
DEPARTMENT OF POLICE,21085,COMMODITIES,LINCOLNSHIRE,"90,000.00"
CHICAGO DEPARTMENT OF TRANSPORTATION,23813,CONSTRUCTION-LARGE $3MILLIONorABOVE,CHICAGO,"9,665.00"
DEPT OF STREETS & SANITATION,26327,PROPERTY_LEASE,CHICAGO,"7,850.00"
DEPT OF BUSINESS & INFORMATION SERVICES,13783,COMMODITIES,NORTHBROOK,"38,86,958.40"
DEPARTMENT OF WATER MANAGEMENT,10097,COMMODITIES,CHICAGO,0
CHICAGO DEPARTMENT OF TRANSPORTATION,28374,CONSTRUCTION-LARGE $3MILLIONorABOVE,CHICAGO RIDGE,"4,000.00"
DEPARTMENT OF HEALTH,25076,DELEGATE AGENCY,CHICAGO,0
DEPARTMENT OF HEALTH,25072,DELEGATE AGENCY,CHICAGO,0
DEPARTMENT OF HEALTH,28807,DELEGATE AGENCY,CHICAGO,0
DEPARTMENT OF POLICE,20766,WORK SERVICES / FACILITIES MAINT.,PLAINFIELD,"2,00,000.00"
DEPT OF GENERAL SERVICES,21878,WORK SERVICES/FACILITIES MAINT.,CHICAGO,0
FIRE DEPARTMENT,19551,COMMODITIES,SOUTH ELGIN,0
DEPT OF GENERAL SERVICES,15087,CONSTRUCTION-GENERAL,CHICAGO HEIGHTS,0
DEPT OF GENERAL SERVICES,15087,CONSTRUCTION-GENERAL,CHICAGO HEIGHTS,0
DEPT OF FLEET MGMT,16204,WORK SERVICES/FACILITIES MAINT.,CHICAGO,"1,42,500.00"
CHICAGO DEPARTMENT OF TRANSPORTATION,17331,COMMODITIES,DOWNERS GROVE,"27,188.00"
DEPARTMENT OF POLICE,15871,COMMODITIES,TINLEY PARK,"20,000.00"
DEPARTMENT OF POLICE,15871,COMMODITIES,TINLEY PARK,"1,41,004.00"
DEPT OF STREETS & SANITATION,24777,WORK SERVICES/FACILITIES MAINT.,LOCKPORT,0
DEPT OF STREETS & SANITATION,21772,PROPERTY_LEASE,CHICAGO,"96,120.00"
DEPT OF STREETS & SANITATION,21978,PROPERTY_LEASE,CHICAGO,"37,200.00"
DEPT OF COMMUNITY DEVELOPMENT,26338,DELEGATE_AGENCY,CHICAGO,0
DEPT OF GENERAL SERVICES,17714,COMMODITIES,SUMMIT ARGO,0
DEPT OF AVIATION,26783,CONSTRUCTION-AVIATION,ELBURN,"29,740.00"
DEPARTMENT OF POLICE,25041,COMMODITIES,CHICAGO,0
DEPARTMENT OF POLICE,21762,PROPERTY_LEASE,CHICAGO,"66,000.00"
DEPT OF GENERAL SERVICES,18465,WORK SERVICES/FACILITIES MAINT.,CHICAGO,0
DEPT OF GENERAL SERVICES,18465,WORK SERVICES/FACILITIES MAINT.,CHICAGO,0
DEPARTMENT OF POLICE,24357,COMMODITIES,SOUTHPORT,0
DEPARTMENT OF POLICE,24358,COMMODITIES,CHICAGO,0
DEPARTMENT OF POLICE,21707,PROPERTY_LEASE,WASHINGTON,"57,000.00"
CHICAGO DEPARTMENT OF TRANSPORTATION,17979,COMMODITIES,CHICAGO,0
DEPARTMENT OF POLICE,26659,WORK_SERV-AVIATION,NORTHLAKE,"124,00,000.00"
DEPARTMENT OF POLICE,18434,COMMODITIES,ATTLEBORO FALLS,"447,37,983.70"
DEPARTMENT OF POLICE,21758,PROPERTY LEASE,HIGHLAND PARK,"2,87,700.00"
DEPT OF GENERAL SERVICES,18069,COMMODITIES,SKOKIE,0
DEPARTMENT OF POLICE,15871,COMMODITIES,TINLEY PARK,"1,50,434.80"
DEPARTMENT OF HEALTH,30078,DELEGATE_AGENCY,CHICAGO,0
CHICAGO DEPARTMENT OF TRANSPORTATION,15264,ARCH/ENGINEERING,BEAVER,0
CHICAGO DEPARTMENT OF TRANSPORTATION,21759,PROPERTY_LEASE,CHICAGO,"2,31,000.00"
CHICAGO DEPARTMENT OF TRANSPORTATION,15264,ARCH/ENGINEERING,BEAVER,0
CHICAGO DEPARTMENT OF TRANSPORTATION,24406,PROPERTY_LEASE,BEDFORD PARK,"1,450.00"
CHICAGO PUBLIC LIBRARY,17712,WORK SERVICES / FACILITIES MAINT.,NORTH MANCHESTER,0
DEPARTMENT OF HEALTH,30078,DELEGATE AGENCY,CHICAGO,"2,10,688.00"
DEPT OF GENERAL SERVICES,17715,COMMODITIES,CHICAGO,"66,928.00"
DEPARTMENT OF HEALTH,30192,DELEGATE AGENCY,CHICAGO,0
CHICAGO DEPARTMENT OF TRANSPORTATION,15169,COMMODITIES,CHICAGO,"67,774.00"
DEPARTMENT OF HEALTH,30083,DELEGATE AGENCY,CHICAGO,"1,53,848.00"
DEPARTMENT OF HEALTH,30080,DELEGATE AGENCY,CHICAGO,"2,10,688.00"
DEPT OF AVIATION,10800,COMMODITIES,CHICAGO,"3,724.00"
